Winkel;Tool;J1;J2;J3;J4;J5;J6
118;T1;-54.0226;21.8762;36.1841;-56.8507;56.7606;-38.7845
119;T1;-54.1166;21.5893;36.6312;-57.6623;56.1882;-38.9975
120;T1;-54.2186;21.3041;37.0742;-58.4832;55.6133;-39.2056
121;T1;-54.3286;21.0205;37.513;-59.3136;55.0359;-39.4087
122;T1;-54.4466;20.7388;37.9474;-60.1537;54.456;-39.6067
123;T1;-54.5728;20.4591;38.377;-61.0038;53.8736;-39.7995
124;T1;-54.7073;20.1815;38.8018;-61.864;53.2887;-39.9869
125;T1;-54.85;19.9062;39.2216;-62.7346;52.7013;-40.1688
126;T1;-55.0012;19.6333;39.636;-63.6158;52.1114;-40.3452
127;T1;-55.1608;19.363;40.0449;-64.5079;51.5191;-40.5157
128;T1;-55.3288;19.0953;40.4481;-65.411;50.9242;-40.6803
129;T1;-55.5054;18.8306;40.8453;-66.3254;50.3269;-40.8388
130;T1;-55.6906;18.5688;41.2363;-67.2514;49.7271;-40.9909
131;T1;-55.8843;18.3102;41.6209;-68.1891;49.1248;-41.1365
132;T1;-56.0867;18.055;41.9988;-69.1389;48.52;-41.2753
133;T1;-56.2977;17.8033;42.3699;-70.1011;47.9128;-41.4071
134;T1;-56.5173;17.5553;42.7338;-71.0758;47.3032;-41.5316
135;T1;-56.7454;17.3111;43.0903;-72.0634;46.6912;-41.6485
136;T1;-56.9822;17.071;43.4392;-73.0641;46.0768;-41.7576
137;T1;-57.2275;16.8351;43.7802;-74.0782;45.4601;-41.8585
138;T1;-57.4812;16.6036;44.113;-75.106;44.841;-41.9509
139;T1;-57.7433;16.3767;44.4375;-76.1479;44.2197;-42.0343
140;T1;-58.0137;16.1546;44.7533;-77.2041;43.5962;-42.1085
141;T1;-58.2923;15.9374;45.0601;-78.275;42.9705;-42.1729
142;T1;-58.5789;15.7254;45.3578;-79.3609;42.3428;-42.2272
143;T1;-58.8735;15.5188;45.646;-80.4621;41.713;-42.2708
144;T1;-59.1758;15.3177;45.9245;-81.5789;41.0813;-42.3033
145;T1;-59.4856;15.1223;46.193;-82.7118;40.4478;-42.3241
146;T1;-59.8028;14.9329;46.4512;-83.8612;39.8126;-42.3327
147;T1;-60.127;14.7495;46.6989;-85.0273;39.1758;-42.3284
148;T1;-60.458;14.5725;46.9357;-86.2107;38.5375;-42.3107
149;T1;-60.7956;14.402;47.1615;-87.4116;37.8979;-42.2788
150;T1;-61.1394;14.2381;47.376;-88.6306;37.2572;-42.2321
151;T1;-61.489;14.0811;47.5789;-89.8681;36.6155;-42.1697
152;T1;-61.8441;13.9311;47.7699;-91.1245;35.973;-42.091
153;T1;-62.2043;13.7884;47.9488;-92.4003;35.33;-41.995
154;T1;-62.5692;13.653;48.1154;-93.6961;34.6867;-41.8809
155;T1;-62.9381;13.5251;48.2694;-95.0122;34.0432;-41.7478
156;T1;-63.3108;13.4048;48.4105;-96.3494;33.3999;-41.5947
157;T1;-63.6865;13.2924;48.5386;-97.708;32.7571;-41.4205
158;T1;-64.0649;13.1879;48.6535;-99.0888;32.1151;-41.2243
159;T1;-64.4452;13.0914;48.7549;-100.492;31.4741;-41.0049
160;T1;-64.8267;13.0031;48.8427;-101.919;30.8345;-40.761
161;T1;-65.209;12.923;48.9167;-103.37;30.1967;-40.4916
162;T1;-65.5912;12.8511;48.9768;-104.845;29.5611;-40.1952
163;T1;-65.9727;12.7877;49.0228;-106.346;28.9281;-39.8705
164;T1;-66.3526;12.7326;49.0547;-107.874;28.298;-39.5162
165;T1;-66.7301;12.6858;49.0725;-109.428;27.6714;-39.1307
166;T1;-67.1045;12.6475;49.0759;-111.01;27.0488;-38.7125
167;T1;-67.475;12.6175;49.0652;-112.621;26.4305;-38.26
168;T1;-67.8405;12.5959;49.0402;-114.261;25.8172;-37.7715
169;T1;-68.2002;12.5824;49.0011;-115.932;25.2095;-37.2453
170;T1;-68.5532;12.5771;48.948;-117.635;24.6078;-36.6796
171;T1;-68.8986;12.5798;48.8811;-119.37;24.0129;-36.0725
172;T1;-69.2353;12.5903;48.8006;-121.14;23.4254;-35.4221
173;T1;-69.5624;12.6084;48.7067;-122.944;22.8459;-34.7264
174;T1;-69.879;12.634;48.5999;-124.785;22.2752;-33.9833
175;T1;-70.1839;12.6666;48.4805;-126.663;21.7141;-33.1907
176;T1;-70.4762;12.7062;48.3492;-128.581;21.1633;-32.3466
177;T1;-70.755;12.7522;48.2064;-130.538;20.6239;-31.4488
178;T1;-71.0193;12.8045;48.0529;-132.537;20.0966;-30.4952
179;T1;-71.268;12.8624;47.8894;-134.578;19.5824;-29.4837
180;T1;-71.5004;12.9256;47.717;-136.664;19.0825;-28.4122
181;T1;-71.7156;12.9936;47.5366;-138.795;18.5979;-27.2789
182;T1;-71.9127;13.0659;47.3493;-140.973;18.1298;-26.0819
183;T1;-72.0912;13.1418;47.1566;-143.198;17.6795;-24.8197
184;T1;-72.2503;13.2208;46.9597;-145.472;17.2482;-23.491
185;T1;-72.3897;13.3022;46.7603;-147.795;16.8375;-22.095
186;T1;-72.509;13.3853;46.5602;-150.167;16.4487;-20.6312
187;T1;-72.6083;13.4693;46.3611;-152.588;16.0835;-19.0998
188;T1;-72.6875;13.5535;46.1649;-155.057;15.7433;-17.5016
189;T1;-72.7471;13.6371;45.9738;-157.574;15.4299;-15.8383
190;T1;-72.7879;13.7193;45.7899;-160.136;15.1448;-14.1122
191;T1;-72.8106;13.7995;45.6151;-162.741;14.8896;-12.3271
192;T1;-72.8168;13.8767;45.4517;-165.386;14.666;-10.4873
193;T1;-72.808;13.9505;45.3015;-168.066;14.4753;-8.59864
194;T1;-72.7863;14.02;45.1664;-170.777;14.319;-6.66777
195;T1;-72.7538;14.0849;45.0479;-173.512;14.198;-4.7025
196;T1;-72.7132;14.1446;44.9472;-176.266;14.1133;-2.71143
197;T1;-72.6672;14.1988;44.8653;-179.032;14.0656;-0.703885
198;T1;-72.6187;14.2475;44.8026;178.198;14.0551;1.31029
199;T1;-72.5705;14.2906;44.7592;175.431;14.082;3.32113
200;T1;-72.5256;14.3282;44.7346;172.675;14.1458;5.31872
201;T1;-72.4866;14.3605;44.7282;169.936;14.2461;7.29351
202;T1;-72.4561;14.3881;44.7387;167.221;14.382;9.2366
203;T1;-72.4364;14.4113;44.7647;164.537;14.5523;11.1399
204;T1;-72.4293;14.4307;44.8043;161.888;14.7557;12.9962
205;T1;-72.4365;14.447;44.8558;159.279;14.9908;14.7996
206;T1;-72.4593;14.4609;44.917;156.714;15.2559;16.5451
207;T1;-72.4985;14.4732;44.986;154.196;15.5494;18.2289
208;T1;-72.5547;14.4845;45.0605;151.727;15.8696;19.8481
209;T1;-72.6282;14.4956;45.1387;149.309;16.2148;21.401
210;T1;-72.7191;14.5072;45.2186;146.943;16.5833;22.8864
211;T1;-72.8271;14.52;45.2983;144.628;16.9734;24.3042
212;T1;-72.9518;14.5345;45.3763;142.365;17.3838;25.6546
213;T1;-73.0928;14.5514;45.451;140.153;17.8127;26.9385
214;T1;-73.2492;14.5713;45.5211;137.992;18.2589;28.1573
215;T1;-73.4204;14.5946;45.5853;135.881;18.721;29.3125
216;T1;-73.6054;14.6217;45.6425;133.819;19.1978;30.4059
217;T1;-73.8034;14.6532;45.6918;131.803;19.6881;31.4396
218;T1;-74.0135;14.6893;45.7324;129.834;20.1908;32.4156
219;T1;-74.2346;14.7303;45.7635;127.909;20.7048;33.3363
220;T1;-74.4658;14.7766;45.7846;126.027;21.2294;34.2038
221;T1;-74.7062;14.8284;45.7952;124.186;21.7635;35.0204
